object_id,chi_sq_g,chi_sq_all
1435328,324.6754797050401,510.6175718284926
1445616,47.76665795974235,85.8612716991624
1446272,642.3514189048561,1474.3113007236284
1431268,531.6949510119292,1193.7979532105842
1389280,81.8920517545172,899.8834390236126
1445568,30.35408478167308,148.90441571573388
1447112,16.76686771514794,111.41512180194051
1446887,39.83097055120314,452.4606454286637
1444860,188.84979376531763,1098.3079918775727
1444992,18.595905714454208,63.96668085557793
1437779,40.86038261313271,104.44690239649944
1421819,96.55364856542768,362.119652204745
1407316,17.727154652373233,45.62101442636766
1465197,50.79191198580997,101.47355739232351
1463425,36.48645283163318,68.42120965644277
1429182,13.054258484365622,34.370970846510374
1389862,90.50869741512238,156.31553379052073
1452799,23.421294205731996,82.63919721597094
1444867,45.99300111130357,103.62628080920425
1450200,13.42754288700174,73.65014540001246
1452568,108.33329698654182,253.35052309872017
1448124,272.8499307312112,749.5992492472112
1455996,24.985250394775488,77.91845624271815
1417468,167.01932774969882,208.9872451435934
1426151,272.411283883888,1157.6076221255626
1450445,275.2826706963548,565.7300872998503
1451388,23.287366526707785,63.78310666861282
1446908,36.9588006783671,136.9551144395117
1448478,28.330183131687185,106.10992712640898
1448651,49.59508181263788,98.93775029281431
1415707,504.269090877229,667.0001765524071
1464415,84.80005078555202,217.3951265210813
1448148,27.455177018421256,91.33155782020414
1459708,25.2423413157392,49.840067671320185
1415220,76.82171247159386,171.89406835772513
1462865,25.888287944414174,71.40647510232684
1460622,128.25049162247868,336.9090035372353
1459338,24.67849971188241,37.65000599921709
1417857,17.8876282926754,60.69344541431834
1446002,27.373941525531063,80.66634222273915
1388561,44.1051362019061,144.8597098287579
1436165,62.14297843304604,250.16794631946664
1395928,50.30340930738489,129.05741495901762
1430421,130.16953524959877,213.21913596218127
1416011,146.4520040927455,397.8249940469762
1392285,19.346182495418123,63.83017001620015
1464473,10.834518288945793,17.44412700350284
1459403,115.49361142521124,283.4904569194847
1423661,211.39790215126217,531.3601247201116
1424316,1455.0171132832982,8537.649822899879
1445102,106.79454915807986,432.0661426462043
1452855,135.12005236557445,228.711242873095
1421704,32.61815521286847,66.27052507924071
1400898,135.79441295561494,518.4932396940738
1442784,76.89106065180341,205.57885783564336
1448470,252.22053168790256,550.0710603203415
1396458,25.79997558194178,96.57984805920228
1452333,147.06978907337458,245.8826703290414
1404976,20.260440856416857,52.92000031061045
1415204,115.5202185153253,219.15478245972488
1451225,366.2856264378445,896.1366863668768
1449095,251.64877127738023,589.3000371428597
1396883,383.605575597606,815.1048263314619
1432075,156.87258392918622,239.3734136057709
1414045,39.91107736665049,108.94927033715518
1449612,27.15290420823004,74.82559998164758
1409451,335.3647396363753,670.9262479775638
1401634,362.473654385946,679.52821526852
1403648,123.33007230006754,304.4659957501281
1420247,60.389633745798,117.89682800995196
1388743,49.561842099827565,187.9562665152564
1432504,318.21925728336845,626.5384998326087
1419799,274.4564928675832,443.6142241795546
1453020,122.20429258229122,337.3416676978937
1408814,649.0373464893935,2085.9472921006864
1465265,187.60372839609835,374.9717777047528
1415273,59.013669570873645,90.7800969497687
1388971,302.23626200994084,553.2235327395452
1438860,161.3705305691992,272.103929644735
1436441,18.056880468760124,30.03253091874049
1411070,86.28397666341286,236.8203640108828
1452200,34.25758002311129,47.50069437111698
1435195,23.69365235779686,61.512066973277406
1437084,99.96943355641665,238.45480017813983
1447449,45.14389795362162,112.374414378052
1422631,167.48971089566817,552.4582733698093
1452340,220.15271888035653,718.847962881372
1455823,14.815294036209067,32.69796550336042
1424759,154.6661764233282,436.342327356565
1447740,18.804869630875,57.40378398790366
1390623,14.334149201879413,41.677733572939474
1420992,36.530388646000816,287.82973289613943
1431601,621.577718725922,3057.529304599673
1424484,36.77592251296354,79.59603322516533
1465217,332.06785939672454,934.6660234904112
1427597,14.42427006142478,54.946843534036816
1413455,13.077133587401274,46.57516241249816
1457320,163.04369709109258,422.3335819983092
1447795,156.8736605794925,487.9143533325966
1450559,121.54287217481668,167.41499338999773
1424640,16.228708206718682,24.778468119938
1437648,199.65972730125708,611.9916410964162
1451764,29.397825942437034,74.99563435217573
1455347,1258.6195651258513,3686.1363543476336
1464806,38.07786876725364,93.38543789319424
1443742,26.70380651083926,78.97770441575027
1398752,82.32507611703672,321.4654944705583
1446804,97.29372365361024,233.2109294668736
1389040,34.8308587232042,184.5208710909288
1449615,10.028518395727897,26.092462795316504
1428949,25.479956458650157,60.08212919959338
1452735,188.33386888741583,648.6789249380679
1461271,56.00344738900669,106.58825618261535
1438611,52.14814285019754,134.4028461306967
1405258,153.59022188987362,368.1088108634
1453178,40.22487377948513,65.69513575262239
1465706,42.89757786117233,86.45065177959174
1463644,126.86878192898914,398.6623913002308
1393579,133.34649761379066,306.86068851676754
1444444,77.32998548711326,147.51422543364438
1428402,40.45003424163964,294.55549250238096
1431339,16.69761258802886,37.32939157357341
1451141,49.84170916680738,170.47615002547195
1397282,102.0740981341995,236.14406963010973
1436913,33.09547349415207,74.81825897595927
1430195,29.16198383411797,60.638391715347325
1395134,121.1650117512622,260.0000400721926
1411827,42.72296216201782,68.51674251335176
1464382,200.67198941646632,499.9107871420655
1444969,60.21704977535915,135.9128433125905
1410965,48.57362197498726,92.26292920690176
1433625,26.840133871544865,65.95000334834842
1463993,35.82591841334315,91.41882671468991
1459342,169.18144256809654,346.8100393535931
1395618,40.60945792921535,153.1404233659926
1421174,439.1787850821448,813.2360375382194
1408932,115.92179680750024,504.57580039606114
1450895,10.012615334123051,51.221799506088985
1419444,134.0645177216838,247.04449091914387
1457154,45.884601633645566,135.8085034985337
1452487,10.007907644127195,23.02127057797144
1448534,144.20190348505184,673.2375277060074
1414172,266.47889623950965,618.4884516982826
1465343,280.0645592667817,1072.0826372391848
1460588,138.0997426519399,324.7558975789624
1459613,25.593141255758315,47.54838340136741
1451244,222.2571676432687,605.3064210925083
1398737,11.247702225509824,18.29246348885548
1464676,587.1088883910862,1845.050489333052
1423553,151.72383249409057,394.13767545075206
1408535,297.7956640454622,659.8730876386753
1464365,86.65147136108455,165.35229070391992
1407112,87.11203468089424,220.7803020815388
1438929,47.837083884471966,436.303581111587
1464788,124.59057581171652,423.1399698850039
1435407,129.29810688770388,287.8733141700726
1439736,20.462154997254714,76.0242786008907
1452873,24.46566056490513,47.65207257328219
1424982,44.37630785275803,61.10453121227168
1465321,196.40090211040257,611.9260862091355
1421314,53.26524421309148,137.9205552103509
1464250,29.92989981285219,89.53446142727338
1420419,23.73727439922571,106.62253504033616
1440493,16.25995552487848,52.94150363027429
1411940,131.9713770477032,392.976299468841
1419968,113.25445686577868,175.63307220575047
1446294,143.1003012534484,351.41562737701827
1432798,338.09541319792777,2135.4809454497536
1414723,58.70710585170467,233.35304501812772
1465856,42.33121388633242,316.9860201752645
1445501,65.40415789151885,1058.912334081364
1410466,84.08310177795843,158.15590070999872
1435889,77.05995896403456,248.2538202007418
1415806,52.6701199388331,111.63496043306594
1388983,73.55166670329085,191.31816180561964
1416898,76.84348300941615,153.15582838709912
1447669,89.77632477277288,170.4140652668532
1400754,276.2595661539544,670.8325179270382
1449276,209.80841919956836,405.30798126031846
1451270,342.88642164605164,977.837302897628
1412903,13.755727929443688,37.74346453183532
1435371,101.15226473394952,243.6940225238264
1425090,15.779825254065829,23.603106484314697
1450132,41.0247464449434,75.44197134077223
1420078,182.22513988299724,487.0367631437276
1450898,263.2506661304301,779.1409250529668
1463727,16.504535658612717,54.94200194473
1465665,32.500543538558816,109.07728617955648
1400161,173.9371788173445,426.0092482076641
1408352,1817.649637607288,2659.2171684871737
1399338,39.17311438360563,92.16611781205124
1443450,106.4769096628043,330.1472364504498
1437320,69.18747717176994,327.1695004670533
1465702,46.19852347713104,146.84036911477446
1419589,32.682019514919446,51.41437040916322
1406881,31.214963615496057,542.7415345553098
1398638,30.47339085307477,103.66197807511416
1401518,116.53190537450772,186.5519483349525
1437033,35.23994514222203,83.09100057037237
1445514,1659.503372162776,6106.033587022448
1443134,21.3210438970077,83.66492889190044
1400251,19.57770876773727,93.11242950090616
1415787,154.67684849660696,438.501199392788
1444990,16.981326943819933,52.22444494187136
