object_id,sdss_name,apparent_mag_2500,f_host_4200
1390151,024453.25-011256.4,23.06155352807837,-1.0
1390140,024455.18-002501.5,21.476212975666762,-1.0
1390080,024505.04-003442.0,22.787818840161812,-1.0
1390049,024509.76-010001.3,23.12465266370912,-1.0
1390026,024511.94-011317.6,23.10511260321443,-1.0
1390021,024512.12-011314.0,22.69351137740447,-1.0
1390012,024514.00-003535.4,20.873587522422348,-1.0
1390004,024514.93-004101.9,22.955696633101347,-1.0
1389975,024519.65-005113.0,21.824022752145332,-1.0
1389968,024520.05-004534.5,23.109174519173713,-1.0
1389915,024527.72-010602.9,22.164440969596036,-1.0
1389887,024531.53-002612.2,22.348082006537688,-1.0
1389884,024532.49-002737.9,22.97654154648422,-1.0
1389873,024533.66-000745.0,20.472729910345045,-1.0
1389832,024538.29-004705.4,22.863024099989765,-1.0
1389799,024544.78-004415.3,21.25110473619808,-1.0
1389786,024547.59-000814.4,22.340447377271765,-1.0
1389767,024549.96-000051.8,21.82896567011324,-1.0
1389763,024550.79-004328.2,24.190438993075368,-1.0
1389741,024555.28-000722.9,23.050608552909758,-1.0
1389734,024556.52-000357.3,20.73114855512197,-1.0
1389729,024557.23-000823.4,21.92006051007727,-1.0
1389683,024603.68-003211.7,20.805855199145093,-1.0
1389660,024606.21-005531.8,22.243160895093688,-1.0
1389630,024611.21-003134.3,22.363205797132828,-1.0
1389594,024617.08-000602.6,19.840687408328684,-1.0
1389560,024621.11-000152.0,20.29998742614263,-1.0
1389516,024628.49-004457.2,22.177719648244725,-1.0
1389488,024632.44-003214.1,21.14848003515828,-1.0
1389486,024632.55-003439.2,21.693510570021836,-1.0
1389477,024635.62-000850.5,20.918434388007945,-1.0
1389463,024637.94-004105.3,21.355173897794167,-1.0
1389395,024646.74-001220.7,20.455013866010084,-1.0
1389363,024650.93-004457.3,21.739846533565533,-1.0
1389354,024651.87-010732.6,21.741594194736614,-1.0
1389350,024652.16-011243.0,21.146921235756658,-1.0
1389289,024659.35-000847.3,22.521399180334903,-1.0
1389269,024703.24-010032.0,23.123038351695378,-1.0
1389212,024712.90-011106.2,21.780066258251658,-1.0
1389198,024716.32-010401.5,23.007640629321905,-1.0
1389192,024717.41-000052.4,22.738657373299084,-1.0
1389158,024723.54-002536.6,21.441435015014697,-1.0
1389104,024733.89-000406.2,21.879902791000227,-1.0
1389088,024737.50-000459.1,21.913884823689195,-1.0
1389080,024739.11-005221.1,22.731336096546677,-1.0
1389038,024747.00-011334.4,22.27500521474783,-1.0
1389033,024747.59-004810.1,22.124254861983793,-1.0
1389026,024748.87-000147.5,21.456222668815634,-1.0
1388993,024753.20-002138.0,21.97058516090396,-1.0
1388968,024756.35-001556.1,20.87252748316171,-1.0
1388963,024757.67+001542.4,23.06276717940154,-1.0
1388943,024801.09-004015.8,20.59437798809281,-1.0
1388831,024820.91-002546.8,21.75568245366464,-1.0
1388819,024823.51+003552.7,21.424711733524994,-1.0
1388817,024823.77-010002.5,22.42083177957071,-1.0
1388799,024826.69-004144.4,22.34030263238136,-1.0
1388743,024838.93-000326.0,23.46806340269884,-1.0
1388730,024840.78-003548.2,21.031435731993433,-1.0
1388729,024840.98-001228.9,20.85064714605108,-1.0
1388651,024854.81+001053.8,21.374191369163476,-1.0
1388643,024855.60+002306.4,21.334273664993013,-1.0
1388636,024856.88-010522.6,22.397537444366,-1.0
1388577,024906.74+003726.0,22.196629457279947,-1.0
1388576,024906.75+000823.6,22.550923441925512,-1.0
1388573,024907.30-000649.4,22.71284813736174,-1.0
1388513,024918.25-001731.1,20.8947450852938,-1.0
1388509,024918.63+000548.1,22.84931972834884,-1.0
1388483,024920.98+004206.3,22.793751958866586,-1.0
1388467,024923.24+004353.0,23.211403738322296,-1.0
1388442,024929.19-002104.3,20.833926144794297,-1.0
1388413,024935.46+004144.4,22.787032009347307,-1.0
1388412,024935.55-001336.8,21.793108548232247,-1.0
1388390,024939.57+000700.2,21.111128403971072,-1.0
1388389,024939.57-001157.8,22.752576658870304,-1.0
1388366,024944.09+003317.3,21.91581162089137,-1.0
1388340,024948.62+005152.8,22.04671908853914,-1.0
