i,object_id,sdss_name,z,log_lbol,log_lbol_err,log_tau_rest,log_tau_rest_err,log_sigma,log_sigma_err,log_jitter,magerrs_mean
4,1440431,001438.28-010750.1,1.805067731911902,46.66574287508024,0.0022465273586007,2.5404514646088767,0.4748971419470593,[-1.02726821 -1.1640594  -2.44531839],[0.18158128 0.19960538 0.64821477],[ -6.57773857 -11.92516212  -3.06670513],[0.09629692 0.06877399 0.05470554]
5,1440434,001437.58+011410.8,2.4068591549366203,45.83317994408438,0.0139762555869111,1.3311702946599366,0.8395863739282745,[-0.84013204 -0.64321549 -1.31920107],[0.16659232 0.21319596 0.59693823],[-15.21463539 -16.76504491 -15.69980043],[0.20000281 0.21755908 0.17706449]
6,1440437,001437.19+001207.5,1.3802742316102588,45.542475955294,0.0074218104921044,2.485705614022523,0.4096182687182805,[-0.42381404 -0.46397891 -0.454269  ],[0.17646522 0.18173586 0.18637214],[ -7.45042202 -11.87278694  -6.83030816],[0.16532684 0.13371847 0.13363003]
7,1440438,001436.69-011235.4,0.6625610598682607,45.66163150063203,0.0166570746745797,1.9005849833425787,0.224770012219986,[-0.79430417 -0.88555861 -0.85256161],[0.08834767 0.09810384 0.11677021],[-14.73592082 -13.48802417  -5.61216722],[0.09877022 0.08764128 0.07302137]
9,1440444,001435.97+010615.0,2.222586859922804,45.77411159460596,0.0153404734750353,2.141469550896769,0.4612144881072698,[-0.80474202 -0.78591938 -0.58311501],[0.13610588 0.16356766 0.16972445],[-11.75757586 -13.49864338 -14.64036157],[0.19564766 0.16004335 0.14229318]
10,1440449,001434.74-002248.5,1.901084653010385,45.8901883763461,0.0118579568160583,1.306229293155171,0.2952700674633866,[-0.42610459 -0.50691589 -0.88161109],[0.12538958 0.16202682 0.25952396],[ -8.01048402 -14.34297883  -9.68366296],[0.19259067 0.17671471 0.12889374]
11,1440450,001434.43+003037.1,1.9689632357160969,45.62154934817896,0.0227933823930932,2.826081965273687,1.786976798602844,[ -4.20374502  -1.7518656  -10.31958828],[1.51250848 1.76265481 1.75434323],[-12.00666682 -13.1312053  -14.10448853],[0.18841636 0.16369293]
12,1440452,001434.13+002957.1,1.3502404554443808,45.709528940204514,0.0136874830533599,2.350700597135282,0.3946910253868378,[-0.57249114 -0.7321455  -0.53641229],[0.17092106 0.18082361 0.18819739],[ -2.9719575   -6.34914806 -15.66963427],[0.13444979 0.10465682 0.1029584 ]
13,1440454,001433.22+000931.7,1.7183141591311497,45.90859813554573,0.0088528327398158,2.81057253914444,0.6330376406793945,[-0.40498788 -0.39225072 -0.3542525 ],[0.25504673 0.26658821 0.2694955 ],[-12.33209244 -10.00386984 -12.88199698],[0.18973341 0.19788129 0.14819709]
14,1440459,001432.33+002617.9,2.965254971166277,46.53079673875392,0.0037172712037261,1.887847990084345,0.4254797062698097,[-0.87883844 -0.86076471 -0.78704107],[0.15122621 0.17590467 0.21229673],[ -3.65116334 -17.29782204  -7.99783716],[0.13219226 0.11581435 0.10875306]
15,1440461,001432.30-004231.1,1.4874467353705625,45.14844054519644,0.0213473237382508,2.2638682513970343,2.3412668184904244,[-4.0302863  -4.64550081 -4.97449456],[1.99988992 2.19290965 2.21109817],[-13.41121078 -10.08004189  -8.58482684],[0.24532548 0.18381775 0.17890562]
16,1440462,001432.29+010456.3,1.2893476737877252,45.91675236123614,0.0038354839219287,2.3792221400394675,0.3390324539872726,[-0.88256298 -0.98454227 -0.90742034],[0.15117514 0.16049454 0.17564067],[-14.73099805 -13.50048549  -2.46114449],[0.11132876 0.09286512 0.09908184]
17,1440463,001431.84-004928.2,1.28404929874774,45.41038203657069,0.0090749529118205,2.787939827963874,0.5120654495107022,[-0.3867112  -0.50037471 -0.29042285],[0.22120981 0.2320461  0.25899039],[-14.20851987 -11.01305547  -2.49632094],[0.19184246 0.15581999 0.13989673]
18,1440469,001431.05-004727.9,1.0045037987079664,44.92825502522872,0.0230941063764049,1.3551062295915726,1.0843761687038291,[-1.01977057 -0.77387874 -0.78519076],[0.58212285 0.78870873 0.79956996],[-14.92701183 -12.1442994  -16.676578  ],[0.24898244 0.17160445 0.18289557]
19,1440470,001430.31-004128.8,0.8912165369781533,45.29827060954017,0.0082521168874549,0.945505960777146,0.312750604597019,[-0.87166323 -0.82979894 -1.13008548],[0.11681368 0.16624012 0.28044701],[-16.45118985 -15.70398402  -2.6339664 ],[0.16606681 0.12601637 0.08936901]
20,1440474,001428.73+003904.6,1.166992167206634,45.954918383433984,0.0026039749615414,2.7433705103703234,0.4392765999654038,[-0.34404566 -0.52145528 -0.50836524],[0.21492142 0.21650542 0.2202689 ],[ -7.50442727 -14.83578672 -15.89113578],[0.09750037 0.0703899  0.07200089]
21,1440480,001427.93+011333.2,2.183264051623148,46.07497591954751,0.0237474653413833,2.576742502267438,0.4030250520012295,[-0.56663916 -0.49170953 -0.46666747],[0.17827569 0.18749601 0.19126832],[-12.57524903  -8.49721362 -16.31958522],[0.17129861 0.17032178 0.17694055]
22,1440481,001427.79-000308.9,1.1116080455059096,45.296873199205145,0.0095600876596009,2.450283862561121,0.6346789336228408,[-0.56707882 -0.69580621 -1.14394864],[0.18120645 0.21815399 0.63337509],[-11.28656361  -2.10578409  -7.81888115],[0.18199619 0.13833653 0.13863693]
23,1440489,001426.96-000306.7,1.178135263982857,45.94191974289307,0.0093885832376123,1.917375942020943,0.3853955479732772,[-0.80504509 -1.0514303  -0.85231716],[0.20428579 0.27541432 0.28924112],[ -2.06251297 -14.69176648  -3.05429213],[0.07322832 0.05138631 0.05146779]
24,1440490,001426.89+005108.1,1.418962010094033,45.31803279262893,0.022298301410391,2.8834862277566984,0.6178699328198938,[-0.54839663 -0.88778637 -0.83048462],[0.24423527 0.28190104 0.35887141],[-12.60197923  -8.50305119 -16.32243709],[0.2404532  0.20328267 0.17639741]
